"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.847","0.000","-314.400","14000.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.175","0.000","-269.400","13993.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.653","0.010","-297.600","14001.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.037","0.018","-279.300","13992.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.475","0.023","-315.600","14001.5","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.812","0.028","-291.600","13993.9","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.243","0.033","-304.800","14001.1","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.479","0.037","-227.100","13995.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.704","0.041","-123.600","14000.2","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.977","0.045","-148.200","13997.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.251","0.048","-204.000","13999.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.317","0.052","-159.900","13999.1","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.479","0.055","-158.100","13997.4","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.630","0.058","-154.500","14000.8","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.735","0.061","-168.000","13996.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.777","0.064","-149.400","13994.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.834","0.067","-133.500","13953.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.884","0.070","-149.700","13907.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.861","0.073","-134.100","13841.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.867","0.077","-150.000","13786.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.774","0.081","-103.200","13716.9","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.820","0.085","-156.600","13654.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.706","0.089","-146.400","13582.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.739","0.092","-189.600","13510.7","6.000","7.000","12.500","6.500","0.046"
