"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.651","0.000","-258.300","13993.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.133","0.000","-309.000","13998.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.476","0.010","-264.000","13993.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.968","0.018","-311.100","14000.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.307","0.023","-283.800","13993.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.755","0.028","-301.800","14002.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.092","0.032","-292.500","13994.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.431","0.037","-243.000","14002.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.545","0.041","-96.000","13994.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.884","0.044","-170.400","14001.3","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.122","0.048","-182.400","13996.8","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.217","0.051","-183.300","14001.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.314","0.055","-122.400","13998.8","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.556","0.058","-180.600","14000.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.596","0.061","-160.200","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.646","0.064","-131.400","13989.9","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.739","0.066","-158.700","13959.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.733","0.069","-126.000","13901.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.795","0.073","-159.000","13850.6","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.682","0.077","-114.000","13783.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.697","0.081","-153.600","13727.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.598","0.085","-110.700","13655.0","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.596","0.088","-183.900","13593.7","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.505","0.092","-158.100","13519.4","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.468","0.095","-169.200","13448.9","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.316","0.099","-120.600","13370.2","6.000","7.000","12.278","6.411","0.050"
