"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.424","0.000","-293.100","13993.6","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.844","0.000","-276.300","13998.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.275","0.010","-278.700","13996.1","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.680","0.018","-315.600","13998.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.022","0.023","-282.600","13998.0","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.466","0.028","-300.300","13997.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.800","0.032","-296.100","13999.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.057","0.037","-239.400","13995.1","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.191","0.041","-112.800","14001.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.501","0.045","-139.200","13995.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.733","0.048","-219.000","14003.2","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.751","0.052","-148.200","13995.3","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.958","0.055","-155.100","14003.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.092","0.058","-156.600","13995.6","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.210","0.062","-169.500","14002.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.192","0.065","-135.900","13988.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.327","0.068","-143.400","13958.8","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.322","0.070","-138.300","13903.1","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.381","0.074","-145.800","13844.7","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.319","0.079","-126.300","13783.6","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.343","0.083","-128.100","13716.1","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.291","0.087","-138.300","13654.1","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.296","0.091","-161.700","13579.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.293","0.095","-192.900","13514.7","6.000","7.000","12.500","6.500","0.046"
