"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.711","0.000","-276.600","13999.4","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.105","0.000","-307.200","13993.9","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.496","0.010","-267.300","14000.8","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.954","0.018","-310.500","13993.8","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.356","0.023","-301.500","14001.6","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.721","0.028","-278.400","13993.4","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.191","0.033","-342.000","14001.0","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.394","0.037","-192.000","13994.3","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.673","0.041","-144.900","14001.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.936","0.044","-132.900","13997.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.252","0.048","-220.800","14000.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.276","0.051","-149.400","13998.7","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.464","0.055","-168.000","13998.0","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.615","0.058","-157.800","14000.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.686","0.061","-175.500","13997.0","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.752","0.064","-135.900","13994.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.793","0.066","-159.900","13954.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.817","0.069","-134.400","13907.9","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.785","0.073","-147.900","13843.4","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.771","0.077","-143.400","13789.0","6.000","6.000","12.250","6.500","0.038"
