"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.580","0.000","-273.000","13991.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.028","0.000","-281.100","13998.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.437","0.010","-285.300","13995.5","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.787","0.018","-322.200","13998.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.274","0.023","-256.800","13996.7","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.666","0.028","-332.100","13996.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.005","0.032","-281.700","13998.9","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.210","0.037","-241.500","13994.8","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.473","0.041","-121.500","14000.0","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.863","0.044","-127.800","13995.0","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.863","0.048","-221.400","14002.6","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.098","0.051","-143.700","13994.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.256","0.055","-161.700","14002.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.434","0.058","-144.900","13994.5","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.503","0.061","-173.100","14002.3","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.648","0.064","-124.500","13987.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.672","0.067","-159.900","13959.0","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.783","0.070","-112.200","13902.0","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.790","0.073","-161.100","13844.5","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.775","0.077","-121.500","13783.4","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.807","0.081","-133.500","13717.0","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.789","0.085","-116.100","13654.2","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.820","0.088","-176.100","13579.4","6.000","6.000","12.438","6.500","0.044"
