"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.523","0.000","-309.000","13999.8","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.941","0.000","-277.200","13992.4","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.349","0.010","-281.700","14000.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.740","0.018","-319.800","13992.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.080","0.023","-292.200","14000.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.510","0.028","-290.400","13993.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.783","0.033","-324.300","13999.3","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.815","0.037","-258.000","13994.0","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.005","0.041","-110.700","13998.6","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.285","0.045","-160.200","13997.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.398","0.048","-174.300","13998.3","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.498","0.052","-177.900","13999.9","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","9.797","0.056","-117.900","13996.6","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","9.874","0.059","-170.400","14001.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.016","0.063","-143.400","13995.9","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.088","0.066","-143.400","13994.8","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.200","0.069","-150.900","13953.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.252","0.072","-121.500","13907.6","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.331","0.076","-157.200","13843.2","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.336","0.081","-111.000","13788.1","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.381","0.086","-147.300","13718.4","6.000","6.000","12.313","6.500","0.040"
