"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.865","0.000","-304.800","13993.3","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.214","0.000","-284.100","13999.3","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.653","0.010","-279.300","13996.3","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.058","0.018","-306.600","13997.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.419","0.023","-290.700","13997.8","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.819","0.028","-315.600","13996.0","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.153","0.033","-280.800","13999.2","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.375","0.037","-245.700","13995.2","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.536","0.041","-111.600","14001.8","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.915","0.045","-149.100","13995.1","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.985","0.048","-202.200","14003.0","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.136","0.052","-144.900","13994.6","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.278","0.055","-176.100","14002.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.439","0.059","-133.500","13995.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.498","0.062","-181.200","14002.2","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.598","0.065","-120.600","13988.2","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.670","0.068","-165.300","13958.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.685","0.071","-120.600","13902.5","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.745","0.074","-155.400","13843.8","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.650","0.079","-132.300","13782.2","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.695","0.083","-135.300","13715.1","6.000","6.000","12.313","6.500","0.040"
