"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.376","0.000","-336.000","13998.9","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.741","0.000","-269.100","13994.0","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.297","0.010","-263.400","13997.9","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.597","0.018","-324.900","13996.4","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.033","0.023","-281.400","13996.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.415","0.028","-291.600","13998.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.772","0.033","-305.100","13995.5","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","8.889","0.037","-219.300","14000.6","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.207","0.041","-126.000","13994.7","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.547","0.045","-128.700","14002.2","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.688","0.048","-202.500","13994.5","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.805","0.052","-158.700","14002.4","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.093","0.055","-136.200","13994.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.146","0.058","-189.600","14002.4","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.317","0.061","-119.400","13995.7","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.364","0.064","-187.800","13994.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.454","0.067","-105.000","13956.5","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.524","0.070","-162.900","13906.3","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.545","0.074","-119.400","13851.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.542","0.078","-157.800","13789.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.514","0.082","-105.300","13729.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.587","0.086","-144.600","13659.6","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.510","0.090","-165.600","13598.4","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.560","0.093","-171.900","13521.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.398","0.097","-167.100","13454.5","6.000","7.000","12.389","6.456","0.048"
