"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.787","0.000","-313.200","13994.7","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","7.129","0.000","-271.500","13998.6","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.662","0.010","-290.100","13993.6","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","8.009","0.018","-300.300","14001.0","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.419","0.023","-287.400","13994.3","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.885","0.028","-300.000","14001.8","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","9.213","0.032","-301.800","13993.8","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.521","0.037","-205.800","14001.7","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.718","0.041","-122.400","13995.3","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","10.078","0.044","-158.700","14001.5","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","10.226","0.048","-180.600","13996.9","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","10.387","0.051","-173.400","14000.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.557","0.055","-140.700","13998.7","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.728","0.058","-186.900","13999.2","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.765","0.061","-120.300","14000.5","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.934","0.063","-182.100","13989.3","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.880","0.066","-128.400","13959.3","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.943","0.069","-149.100","13899.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.931","0.072","-135.000","13849.0","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.896","0.076","-153.300","13781.5","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.794","0.080","-115.800","13724.6","6.000","6.000","12.313","6.500","0.040"
"21","2","9.300","10.771","0.084","-130.200","13651.5","6.000","6.000","12.375","6.500","0.042"
"22","2","9.200","10.730","0.087","-177.000","13589.3","6.000","6.000","12.438","6.500","0.044"
"23","2","9.100","10.628","0.091","-158.400","13515.3","6.000","7.000","12.500","6.500","0.046"
"24","2","9.000","10.568","0.094","-171.300","13444.3","6.000","7.000","12.389","6.456","0.048"
"25","2","8.900","10.420","0.098","-114.600","13366.4","6.000","7.000","12.278","6.411","0.050"
"26","2","8.800","10.388","0.101","-174.300","13284.2","6.000","7.000","12.167","6.367","0.052"
