"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","10.000","6.345","0.000","-287.700","13998.2","1.000","1.000","8.500","5.000","0.000"
"1","1","10.000","6.807","0.000","-279.900","13990.7","1.000","1.000","8.808","5.231","0.002"
"2","1","10.000","7.283","0.010","-263.400","14000.0","1.000","1.000","9.115","5.462","0.004"
"3","1","10.000","7.727","0.018","-300.300","13992.9","1.000","1.000","9.423","5.692","0.006"
"4","1","10.000","8.102","0.023","-300.300","14000.1","1.000","1.000","9.731","5.923","0.008"
"5","1","10.000","8.606","0.028","-255.300","13994.6","2.000","1.000","10.038","6.154","0.010"
"6","1","10.000","8.857","0.032","-353.400","13999.7","2.000","1.000","10.346","6.385","0.012"
"7","1","10.000","9.090","0.037","-184.800","13996.4","2.000","2.000","10.500","6.500","0.014"
"8","1","10.000","9.381","0.040","-141.000","13998.5","3.000","2.000","10.656","6.500","0.016"
"9","1","10.000","9.722","0.044","-125.100","13998.7","3.000","2.000","10.811","6.500","0.018"
"10","1","10.000","9.843","0.048","-219.900","13997.7","3.000","2.000","10.967","6.500","0.020"
"11","1","10.000","9.959","0.051","-142.800","14000.5","4.000","2.000","11.122","6.500","0.022"
"12","1","10.000","10.252","0.054","-145.500","13995.9","4.000","3.000","11.200","6.500","0.024"
"13","1","10.000","10.310","0.057","-169.500","14002.3","4.000","3.000","11.325","6.500","0.026"
"14","1","10.000","10.500","0.060","-141.600","13995.8","4.000","3.000","11.450","6.500","0.028"
"15","2","9.900","10.526","0.063","-156.900","13995.5","6.000","6.000","12.000","6.500","0.030"
"16","2","9.800","10.666","0.066","-119.400","13953.2","6.000","6.000","12.063","6.500","0.032"
"17","2","9.700","10.676","0.069","-151.800","13906.8","6.000","6.000","12.125","6.500","0.034"
"18","2","9.600","10.750","0.072","-126.300","13843.1","6.000","6.000","12.188","6.500","0.036"
"19","2","9.500","10.673","0.076","-149.400","13786.8","6.000","6.000","12.250","6.500","0.038"
"20","2","9.400","10.752","0.080","-98.400","13718.5","6.000","6.000","12.313","6.500","0.040"
