"data point","process phase","setpoint-force [kN]","act-force [kN]","act-shortening [mm]","act-feed z1 [mm/min]","act-rotation [1/min]","spare","spare","spare","spare","time[s]"
"0","1","12.000","6.575","0.000","-262.200","13994.7","1.000","1.000","8.500","5.000","0.000"
"1","1","12.000","7.039","0.000","-304.800","13997.1","1.000","1.000","8.808","5.231","0.002"
"2","1","12.000","7.270","0.010","-347.400","13995.6","1.000","1.000","9.115","5.462","0.004"
"3","1","12.000","7.429","0.018","-343.800","13994.0","1.000","1.000","9.423","5.692","0.006"
"4","1","12.000","7.764","0.023","-262.200","13997.1","1.000","1.000","9.731","5.923","0.008"
"5","1","12.000","8.265","0.028","-316.200","13994.0","2.000","1.000","10.038","6.154","0.010"
"6","1","12.000","8.531","0.033","-308.400","14000.0","2.000","1.000","10.346","6.385","0.012"
"7","1","12.000","8.818","0.038","-203.100","13994.9","2.000","2.000","10.500","6.500","0.014"
"8","1","12.000","9.002","0.042","-114.000","14002.3","3.000","2.000","10.656","6.500","0.016"
"9","1","12.000","9.370","0.046","-132.900","13994.5","3.000","2.000","10.811","6.500","0.018"
"10","1","12.000","9.544","0.051","-219.600","14002.7","3.000","2.000","10.967","6.500","0.020"
"11","1","12.000","9.632","0.055","-151.500","13994.7","4.000","2.000","11.122","6.500","0.022"
"12","1","12.000","9.866","0.059","-175.800","14002.0","4.000","3.000","11.200","6.500","0.024"
"13","1","12.000","10.023","0.063","-152.100","13996.2","4.000","3.000","11.325","6.500","0.026"
"14","1","12.000","10.174","0.067","-193.500","14001.8","4.000","3.000","11.450","6.500","0.028"
"15","2","11.900","10.214","0.071","-145.200","13990.3","6.000","6.000","12.000","6.500","0.030"
"16","2","11.800","10.362","0.074","-168.000","13957.9","6.000","6.000","12.063","6.500","0.032"
"17","2","11.700","10.385","0.078","-144.000","13904.5","6.000","6.000","12.125","6.500","0.034"
"18","2","11.600","10.496","0.083","-177.900","13843.2","6.000","6.000","12.188","6.500","0.036"
"19","2","11.500","10.434","0.089","-144.000","13784.3","6.000","6.000","12.250","6.500","0.038"
"20","2","11.400","10.530","0.095","-150.300","13714.6","6.000","6.000","12.313","6.500","0.040"
"21","2","11.300","10.487","0.100","-161.100","13653.9","6.000","6.000","12.375","6.500","0.042"
